x,rho(x),R(x),V(rho)
-9.559559559559559716e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.539539539539539703e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.519519519519519690e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.499499499499499677e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.479479479479479664e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.459459459459459651e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.439439439439439639e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.419419419419419626e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.399399399399399613e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.379379379379379600e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.359359359359359587e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.339339339339339574e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.319319319319319561e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.299299299299299548e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.279279279279279535e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.259259259259259522e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.239239239239239510e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.219219219219219497e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.199199199199199484e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.179179179179179471e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.159159159159159458e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.139139139139139445e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.119119119119119432e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.099099099099099419e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.079079079079079406e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.059059059059059393e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.039039039039039380e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.019019019019019368e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.998998998998999355e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.978978978978979342e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.958958958958959329e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.938938938938939316e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.918918918918919303e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.898898898898899290e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.878878878878879277e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.858858858858859264e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.838838838838839251e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.818818818818819238e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.798798798798799226e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.778778778778779213e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.758758758758759200e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.738738738738739187e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.718718718718719174e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.698698698698699161e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.678678678678679148e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.658658658658659135e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.638638638638639122e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.618618618618619109e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.598598598598599096e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.578578578578579084e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.558558558558559071e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.538538538538539058e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.518518518518519045e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.498498498498499032e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.478478478478479019e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.458458458458459006e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.438438438438438993e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.418418418418418980e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.398398398398398967e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.378378378378378954e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.358358358358358942e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.338338338338338929e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.318318318318318916e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.298298298298298903e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.278278278278278890e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.258258258258258877e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.238238238238238864e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.218218218218218851e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.198198198198198838e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.178178178178178825e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.158158158158158813e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.138138138138138800e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.118118118118118787e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.098098098098098774e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.078078078078078761e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.058058058058058748e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.038038038038038735e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.018018018018018722e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.997997997997997821e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.977977977977977808e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.957957957957957795e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
